,type,title,description,viewCount,lengthText,country,date
0,video,"𝐂𝐨𝐳𝐲 𝐂𝐨𝐟𝐟𝐞𝐞 𝐒𝐡𝐨𝐩 𝐀𝐦𝐛𝐢𝐞𝐧𝐜𝐞 | 𝐃𝐚𝐫𝐤 𝐀𝐜𝐚𝐝𝐞𝐦𝐢𝐚 𝐌𝐮𝐬𝐢𝐜 𝐟𝐨𝐫 𝐒𝐭𝐮𝐝𝐲𝐢𝐧𝐠, 𝐑𝐞𝐚𝐝𝐢𝐧𝐠, 𝐖𝐫𝐢𝐭𝐢𝐧𝐠 | 𝐌𝐞𝐥𝐚𝐧𝐜𝐡𝐨𝐥𝐢𝐜 𝐏𝐢𝐚𝐧𝐨","Beautiful Melancholic Piano Music for Cozy Atmosphere While Reading, Writing, Studying  and Relaxing

🎧 SPOTIFY: 
https://open.spotify.com/artist/5UmKVIPkXIe4xE4XFn1W5R

▶️ JOIN to get...",1903934,1:06:06,FR,2024-10-10
1,shorts_listing,Shorts,,,,FR,2024-10-10
2,video_listing,Trending,,,,FR,2024-10-10
3,shorts_listing,Shorts,,,,FR,2024-10-10
4,video,Animation • 2014,"The first-ever full-length theatrical LEGO movie follows Emmet an ordinary, rules-following, perfectly average LEGO minifigure who is mistakenly identified as the most extraordinary person...",,1:40:32,FR,2024-10-10
5,video,Americans every 4 years,i love it this country so good love it,1045,0:13,FR,2024-10-10
6,video,Satoru Gojo Brazilian Phonk Mix | Gym Phonk Training,"Satoru Gojo Brazilian Phonk Mix | Gym Phonk Training

🟢 Phonk Playlist - https://open.spotify.com/playlist/2nbDUEL7hzrbD1VqTzy42N

🔵Telegramm - https://t.me/Phonk_BaseTG

00:00:00 - MANDA_BAL...",679074,3:04:10,FR,2024-10-10
7,shorts_listing,Shorts,,,,FR,2024-10-10
8,video,Relaxing Whiskey Blues Music | Best of Slow Blues/Rock Ballads Songs | JAZZ & BLUES,"mixtape
🥃🎸Music is also used for what you say, not just for entertainment, but also for accompanying us while we perform other missions. My passion is writing, and my habit of listening...",14097559,3:24:08,FR,2024-10-10
9,video,Mojang FINALLY updated the drowning mechanic.,"Minecraft 1.21.2 pre-1: https://www.minecraft.net/en-us/article/minecraft-1-21-2-pre-release-1

Merch: https://phoenixsc.store/
Cape: https://store.badlion.net/shop/PhoenixSC

---------------------...",731307,3:40,FR,2024-10-10
10,video,*NSYNC - Bye Bye Bye [Lyrics] (from Deadpool & Wolverine),"*NSYNC - Bye Bye Bye [Lyrics] (from Deadpool & Wolverine)

Follow *NSYNC:
https://www.instagram.com/nsync
https://www.facebook.com/nsync
https://www.twitter.com/nsync

📷 Wallpaper: https://unspl...",751304,3:21,FR,2024-10-10
11,video,Trouver le perso avec juste son SQUELETTE ?💀 (c'est ultra dur en fait),"Envoyez un max d'amour à Alice pour ses squelettes incroyables : https://www.instagram.com/mzl_art/

▶ Mon lien Displate, avec la promo automatique !
https://displate.com/colasbim?art=5f39ce2e63...",473685,11:13,FR,2024-10-10
12,video,Black Friday SUPERMARKET DASH | Mr Bean Full Episodes | Mr Bean Cartoons,Nipping to the shops for a few provisions becomes a nightmare when a mile-long shopping list from his landlady and a clapped out trolley with a wonky wheel conspire to ruin his day. Subscribing...,35598643,1:36:53,FR,2024-10-10
13,video,Music Mix 2024 🎧 EDM Mixes of Popular Songs 🎧 EDM Bass Boosted Music Mix #220,"Music Mix 2024 🎧 EDM Mixes of Popular Songs 🎧 EDM Bass Boosted Music Mix #220 
🟢  Listen on Spotify / Apple / Youtube : https://lnk.to/remixplaylist11
-------------------------------------...",325947,3:05:24,FR,2024-10-10
14,video,DRESS TO IMPRESS IRL (avec plein de monde) 💃,"Merci à HOLY d’avoir sponsorisé la vidéo ❤️
Collaboration commerciale.
Retrouve toutes les informations ici: https://fr.weareholy.com/Maghla/Youtube et vous avez 5€ de réduction...",1475519,1:05:16,FR,2024-10-10
15,video,Squid Game - Saison 2 | On vous invite VF | Netflix France,"Vous êtes invités à rejouer.
SQUID GAME, saison 2, disponible le 26 décembre, seulement sur Netflix.

La saison 2 de SQUID GAME plus en détail :
Trois ans après avoir remporté le Squid...",262539,1:15,FR,2024-10-10
16,video,4-HOUR 💫 Study With Me •  Rain sounds☔+ Lofi bgm • Pomodoro 50-10 • Day162🥪,"🔹☾+.｡☔ＦＩＮＤ　ＭＥ　ＨＥＲＥ🎠.｡+☽
👽Instagram: https://www.instagram.com/em_malilyn/
.・。.・゜✭・.・✫・゜・。.
⌛Timestamps
0:00 - Intro
0:20...",92881,4:00:55,FR,2024-10-10
17,video,Animator vs. Animation Season 2 (Ep  5-8),"Animator vs. Animation 5-8, in one video, with edits for continuity, as well as some new music.

👕50% OFF MERCH ► https://alanbecker.shop

✏️TWITTER ► http://twitter.com/alanthebecker...",159775330,30:42,FR,2024-10-10
18,video,Billie Eilish Songs Playlist 2024 (Lyrics) The Best Of Billie Eilish ~ Greatest Hits Full Album 2024,"Billie Eilish Songs Playlist 2024 (Lyrics) ~ The Best Of Billie Eilish 2024 ~ Greatest Hits Full Album 2024
https://youtu.be/rsiJ3rfClfc

From the bottom of my heart, thank you for taking the...",1847155,1:51:55,FR,2024-10-10
