,type,title,description,viewCount,lengthText,country,date
0,video,Ｎｉｇｈｔ Ｄｒｉｖｅ ~ lofi hip hop mix ~ beats to chill / drive to,"🌺 Listen to PUEBLO VISTA // ⟪ pvmm ⟫
→ https://pvmm.ffm.to/lofivibes
→ https://pvmm.ffm.to/chillbeats
→ https://pvmm.ffm.to/lofidad

Ｎｉｇｈｔ Ｄｒｉｖｅ ~ lofi hip...",3436702,24:37:03,NO,2024-10-10
1,shorts_listing,Shorts,,,,NO,2024-10-10
2,video_listing,Trending,,,,NO,2024-10-10
3,shorts_listing,Shorts,,,,NO,2024-10-10
4,video,Animation • 2014,"The first-ever full-length theatrical LEGO movie follows Emmet an ordinary, rules-following, perfectly average LEGO minifigure who is mistakenly identified as the most extraordinary person...",,1:40:32,NO,2024-10-10
5,video,"Lady Gaga, Bruno Mars - Die With A Smile (Official Audio)","Listen to “Die With A Smile”, song and video out now: http://GagaMars.lnk.to/DieWithASmile
 
Directed by Daniel Ramos & Bruno Mars
 
Shop official music and merch: https://LadyGaga.lnk.to/Offic...",2508998,4:50,NO,2024-10-10
6,video,AI Sonic Memes Compilation,"Watch till the end of the video for a special announcement!
part 2: https://youtu.be/RbekyezyUg4
part 3: https://youtu.be/GCkgBh2z60c",1269589,4:32,NO,2024-10-10
7,video,How are holograms possible?,"3d scenes on 2d film, and a diffraction lesson along the way.
Instead of sponsored ad reads, these lessons are funded directly by viewers: https://3b1b.co/support
An equally valuable form of...",697107,46:24,NO,2024-10-10
8,shorts_listing,Shorts,,,,NO,2024-10-10
9,video,Someone You Loved ♫ Sad songs playlist for broken hearts ~ Depressing Songs That Will Make You Cry,"Someone You Loved ♫ Sad songs playlist for broken hearts ~ Depressing Songs That Will Make You Cry

Welcome to First Love! 
➤ Spotify: Pop: https://magicmusic.lnk.to/theBestPop
----------------...",8496643,2:08:24,NO,2024-10-10
10,video,Mojang FINALLY updated the drowning mechanic.,"Minecraft 1.21.2 pre-1: https://www.minecraft.net/en-us/article/minecraft-1-21-2-pre-release-1

Merch: https://phoenixsc.store/
Cape: https://store.badlion.net/shop/PhoenixSC

---------------------...",732741,3:40,NO,2024-10-10
11,video,The Oldest Unsolved Problem in Math,"Do odd perfect numbers exist? Head to https://brilliant.org/veritasium to start your free 30-day trial, and the first 200 people get 20% off an annual premium subscription.

Special thanks...",10773929,31:33,NO,2024-10-10
12,video,"Ambient Study Music To Concentrate - 4 Hours of Music for Studying, Concentration and Memory","Keep focused with this ambient study music to concentrate by Quiet Quest - Study Music.

Play this instrumental music in the background and use it as concentration music, focus music or music...",43530732,3:57:52,NO,2024-10-10
13,video,Going To School In Taiwan!,"Make Sure You keep Up With All Of My Social Medias:
Instagram: https://www.instagram.com/kaicenat/
Twitter: https://twitter.com/KaiCenat
Twitch: https://www.twitch.tv/kaicenat
Discord Server:...",16223936,32:27,NO,2024-10-10
14,video,"Billie Eilish Breaks Down Her Career, from 'Ocean Eyes' to 'Barbie' | Vanity Fair","""When I think about my life…I get to do the coolest s–t in the world."" Billie Eilish walks us through her legendary career, discussing the stories behind 'Ocean Eyes,' 'don't smile at me,'...",1065495,22:47,NO,2024-10-10
15,video,Black Friday SUPERMARKET DASH | Mr Bean Full Episodes | Mr Bean Cartoons,Nipping to the shops for a few provisions becomes a nightmare when a mile-long shopping list from his landlady and a clapped out trolley with a wonky wheel conspire to ruin his day. Subscribing...,35598759,1:36:53,NO,2024-10-10
16,video,I Turned 200 Comments Into 1 Drawing + XP Pen Artist Pro 19 (Gen 2) Review,"I actually did it, 

100 comments https://www.youtube.com/watch?v=ZVv6lc1HXYU

Hey thank you so much to @XPPen for sending me a freaking tablet oh my goodness

From Oct 8th to 9th - Prime Big...",88025,22:23,NO,2024-10-10
17,video,How to STUDY so FAST that it feels ILLEGAL😳,"⭐Want to learn how study fast and still get UNBELIEVABLE results? : https://www.superiorstudents.co.uk/opt-in-student-masterclass

This is how to study so fast and efficiently that it feels...",1601688,7:21,NO,2024-10-10
18,video,"SELF CARE SHOPPING + HAUL |  i spent 100,000 dollars (not clickbait)","Thanks for watching me spend all my money! comment more youtube video ideas!
pls subscribe lol

ALL MY SOCIALS
INSTA - @ deja_clarkk
TIKTOK - @ more.dejankat
BUSSINESS - @ kaladé

EDITED BY ~ me ~",271701,8:00,NO,2024-10-10
19,_listing,Free Primetime movies,,,,NO,2024-10-10
20,video,Billie Eilish Songs Playlist 2024 (Lyrics) The Best Of Billie Eilish ~ Greatest Hits Full Album 2024,"Billie Eilish Songs Playlist 2024 (Lyrics) ~ The Best Of Billie Eilish 2024 ~ Greatest Hits Full Album 2024
https://youtu.be/rsiJ3rfClfc

From the bottom of my heart, thank you for taking the...",1847155,1:51:55,NO,2024-10-10
21,video,DAN DA DAN Opening | Otonoke by Creepy Nuts,"DAN DA DAN OP ""Otonoke"" by Creepy Nuts. Watch DAN DA DAN on Crunchyroll! https://got.cr/cc-dandadanop

When high schooler Momo, from a family of spirit mediums, first meets her classmate Okarun,...",6240830,1:41,NO,2024-10-10
22,video,CALI VLOG✈️🌊🌎 Our first plane ride with Rustyn!,HI GUYS! we went on a trip to LA and had so much fun! We were on ​⁠the podcast @tryingtofigureitoutwithally and it was amazing! The podcast will air on 6/11! I cant wait for you guys to...,2243228,35:50,NO,2024-10-10
