,type,title,description,viewCount,lengthText,country,date
0,video,Animation • 2014,"The first-ever full-length theatrical LEGO movie follows Emmet an ordinary, rules-following, perfectly average LEGO minifigure who is mistakenly identified as the most extraordinary person...",,1:40:32,US,2024-10-10
1,video,Hermitcraft 10 - SPOOKY PUMPKINS! Ep. 26,"GeminiTay is jump scaring the hermitcraft members with a new spooky build! A minecraft pumpkin patch with a redstone armor swapper.

✨Follow me!
Twitch: https://www.twitch.tv/geminitay
Twitter:...",136732,26:20,US,2024-10-10
2,video_listing,Trending,,,,US,2024-10-10
3,shorts_listing,Shorts,,,,US,2024-10-10
4,video,How are holograms possible?,"3d scenes on 2d film, and a diffraction lesson along the way.
Instead of sponsored ad reads, these lessons are funded directly by viewers: https://3b1b.co/support
An equally valuable form of...",694034,46:24,US,2024-10-10
5,video,Americans every 4 years,i love it this country so good love it,905,0:13,US,2024-10-10
6,video_listing,Breaking news,,,,US,2024-10-10
7,shorts_listing,Shorts,,,,US,2024-10-10
8,video,Autumn Jazz Music - Relaxing Piano Jazz Music and Crackling Fireplace at Cozy Porch Ambience to Work,"Autumn Jazz Music - Relaxing Piano Jazz Music and Crackling Fireplace at Cozy Porch Ambience to Work

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register now...",233471,11:54:59,US,2024-10-10
9,video,2010s roadtrip mix ~nostalgia playlist,"I made Spotify Playlist with Music for your car:
https://open.spotify.com/playlist/0DXan8VCWZoeW7QuDUTn7t
 
pov: you are on a roadtrip during 2010s summer night while listening to these nostalgic...",9976618,1:09:29,US,2024-10-10
10,video,NFL Best Catches of the 2023-2024 Season,"Thank you for watching! Subscribe for more if you enjoyed, it means a lot!

If you want to compare these catches to previous NFL seasons, watch these!

2022 - 2023 SZN https://youtu.be/JNqXV0A8M70...",1752542,55:33,US,2024-10-10
11,shorts_listing,Shorts,,,,US,2024-10-10
12,video,We Made It This Far,"Thank you for 10 years!!
Instagram ➤ https://www.instagram.com/theodd1sout/
TikTok ➤ https://www.tiktok.com/@theoddtiktoksout
Twitter ➤ https://twitter.com/theodd1sout

ART TEAM:
Emilee...",2574104,1:39,US,2024-10-10
13,video,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 Smells like Pumpkin Spice Lattes 🎃, Snoopy Study Jazz",#pianojazz #studyjazz #snoopyjazz #playlist #peanuts #charliebrown #snoopy #repeat #jazz #nighttimejazz #elevatormusic #focusmusic #studymusic #relaxingjazz #studyplaylist #romanticjazz #cafejazz...,918598,3:22:22,US,2024-10-10
14,video,"Mozart - Classical Music for Working, Studying & Brain Power","🎵  Buy the MP3 album on the Official Halidon Music Store: https://bit.ly/3Wj0z8Z
🎧 Listen to our playlist on Spotify: http://bit.ly/MozartBrainPower

💿 Order "" Classical Music for...",3523294,2:35:02,US,2024-10-10
15,video,Dress To Impress in 100 years!,"Dress To Impress in 100 years...
This video is part 2 to my ""If I worked for Dress To Impress"" series.
(The updates shown in this video are edited and animated by me)

In this video I dive...",920960,1:05,US,2024-10-10
16,video,I Turned 200 Comments Into 1 Drawing + XP Pen Artist Pro 19 (Gen 2) Review,"I actually did it, 

100 comments https://www.youtube.com/watch?v=ZVv6lc1HXYU

Hey thank you so much to @XPPen for sending me a freaking tablet oh my goodness

From Oct 8th to 9th - Prime Big...",87518,22:23,US,2024-10-10
17,video,"chilling ~ 90's r&b/soul/playlist 🎶 Mary J. Blige, Akon, Nelly, Ne-Yo, Usher","✔️""Step into a world where soulful rhythms and emotive lyrics reign supreme with our dedicated YouTube channel celebrating the rich tapestry of R&B and soul music from the 90s and 2000s....",2133412,1:23:07,US,2024-10-10
18,video,Gumball Gets His Just Deserts | Gumball | Cartoon Network,"► Click to watch more of The Amazing World of Gumball - https://www.youtube.com/watch?v=Fu2BjEH4u84&list=PL77ED97B132C66551

Gumball, the amusing blue cat with a giant head and his best buddy...",6792532,3:08:16,US,2024-10-10
19,video,Building a Tiny Office Pod Under My Stairs,"Mr Cool!
Huge thanks to ‪@MrcoolComfort‬  for Sponsoring this video! The DIY Ductless Mini-Split is a great option for homeowners looking for total comfort in their space without the hefty...",2213067,51:47,US,2024-10-10
20,video,DAN DA DAN Opening | Otonoke by Creepy Nuts,"DAN DA DAN OP ""Otonoke"" by Creepy Nuts. Watch DAN DA DAN on Crunchyroll! https://got.cr/cc-dandadanop

When high schooler Momo, from a family of spirit mediums, first meets her classmate Okarun,...",6212861,1:41,US,2024-10-10
21,video,"Sitting On The Porch On A Stormy Day: Heavy Rain and Fireplace Sounds To Sleep, Relax, Rest, Study","Welcome to 𝘁𝗵𝗲 𝘄𝗵𝗶𝘁𝗲 𝗿𝗼𝗼𝗺 
This is a place that creates vast spaces with panoramic views of nature accompanied by ASMR fireplace sounds to help you relax,...",2257450,11:55:00,US,2024-10-10
22,video,5 Life Changing Speeches You Need To Hear TODAY - Best Motivational Speeches,"""The goal is not to be better than the other man, but your previous self."" - The Dalai Lama

More from Eddie Pinero:
Your World Within Podcast: https://yourworldwithin.libsyn.com/
Spotify -...",1723660,1:01:24,US,2024-10-10
