,type,title,description,viewCount,lengthText,country,date
0,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",227205,10:10:12,CA,2024-10-11
1,shorts_listing,Shorts,,,,CA,2024-10-11
2,video_listing,Breaking news,,,,CA,2024-10-11
3,shorts_listing,Shorts,,,,CA,2024-10-11
4,video,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2024 Season,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",775848,13:21,CA,2024-10-11
5,video,Best Nextbots And Flatgrass Map Gmod,"Best Nextbots And Flatgrass Map | GMod Gameplay Madness!

In this Garry's Mod adventure, I take on the best Nextbots on the iconic Flatgrass map! Watch as I navigate the open world of Flatgrass...",999,9:14,CA,2024-10-11
6,video_listing,Trending,,,,CA,2024-10-11
7,video,"Hurricane Milton devastates the Manasota Key and Grove City, Florida - Drone","Hurricane Milton leaves homes badly damaged or completely washed away, boats crashed into houses, streets covered in sand. First look at Manitoba Key and Grove City after significant storm...",3394800,8:36,CA,2024-10-11
8,video,First Wash in 25 Years: BARN FIND Mustang GT! | Car Detailing Restoration,"If you have a DIRTY ABANDONED Barn Find we can showcase on this channel, contact us at wagnerdicesaredetailing@gmail.com or on Instagram @WD.Detailing



First Wash in 25 Years: BARN FIND Mustang...",309849,30:00,CA,2024-10-11
9,video,12 A.M Study Session 📚 [lofi hip hop],"💿| Listen everywhere
→ https://fanlink.tv/12AMStudySession

🎶 | Tracklist
[00:00] Tibeauthetraveler x So.Lo - Goodnight
[02:56] eaup x Epona - Seashells
[05:11] Lawrence Walther x Tibeauthe...",7027524,1:02:00,CA,2024-10-11
10,video,"Travis’ Wild Lateral, Jason’s KC Tailgate and the Next Head Coach of The Jets | Ep 104","92%ers, we are back with another episode of New Heights! 

In this episode, we are coming to you live (pre-recorded) from Kansas City! We’ve got a shout out to Mama Kelce for making the cover...",433188,1:29:11,CA,2024-10-11
11,video,Joe Rogan Experience #2211 - Michael Shellenberger,"Michael Shellenberger is an investigative journalist and founder of Public, a Substack publication, founder and president of Environmental Progress, a research organization that incubates ideas,...",636566,3:15:30,CA,2024-10-11
12,video,金曜コーヒー: Positive Mood with Relaxing Jazz Instrumental & Soft Bossa Nova Piano,Livestream,701,5:15:34,CA,2024-10-11
13,video,Nelk Boys Have The Most Chaotic Golf Match!,"SHOP FULL SEND GOLF: https://fullsend.com/collections/fullsend-golf 

SUBSCRIBE HERE: https://www.youtube.com/channel/UCLpyfBtmj6hxmrMWhXQi6RA?sub_confirmation=1

Try Bored Jerky 
https://www.amazo...",312028,1:04:01,CA,2024-10-11
14,video,Vice President Kamala Harris on the Howard Stern Show (FULL INTERVIEW),"Howard Stern talks to Vice President Kamala Harris in a live, exclusive interview on SiriusXM.

0:00 - Howard Welcomes Vice President Kamala Harris 
2:33 - Election Stakes & Trump Controversies...",780653,1:04:30,CA,2024-10-11
15,video,"In Future, Prisoners Are Sent to an Ocean Planet to be Used as Slaves in Factories","A rebel is sent to prison under fake charges and forced to do labor for the evil empire, so he teams up with the other prisoners to make a escape plan.








Subscribe to our second channel:...",116568,13:15,CA,2024-10-11
16,video,"Dodgers SURVIVE Padres, Game 4 Reaction: David Ortiz, Alex Rodriguez & Derek Jeter | MLB on FOX","The ""MLB on FOX"" crew react to the Los Angeles Dodgers' Game 4 win over the San Diego Padres.

#FOXSports #mlb #baseball #dodgers #padres #shoheiohtani #ohtani 
SUBSCRIBE to get the latest...",150508,13:01,CA,2024-10-11
17,video,Trump Secretly Sent Putin Rare COVID Tests in 2020 According to Bombshell New Book: A Closer Look,"Seth takes a closer look at journalist Bob Woodward revealing in a new book that Trump sent COVID tests to Vladimir Putin at the height of the pandemic when Americans couldn't get them.

Late...",1437205,10:59,CA,2024-10-11
18,video,GUESS WHO: FOOTBALLER EDITION,"@Niko plays Guess Who but in real life with Footballers against @AjShabeel  @bradleymiller_uk 

Follow my Instagram- http://instagram.com/niko
Follow me on Twitter- https://twitter.com/NikoOmilana...",1354218,45:01,CA,2024-10-11
19,video,The Most Hairiest man I’ve ever cut in my career,"Our Academy:
https://www.skool.com/school-of-barbering/about



For Hair Product Line (Not Out Yet): https://www.youtube.com/channel/UCpq5eNqBk3fbBuv0Gnq7O8g

Free Haircut Request (Philadelphia,...",214087,13:47,CA,2024-10-11
20,video,Absolute Batman: The Most Brutal Batman Ever,▸ Batman legend Scott Snyder and Iconic Artist Nick Dragotta transform the Dark Knight's tale for the modern age! Without the mansion...without the money...without the butler...what's left...,238667,24:09,CA,2024-10-11
21,video,金曜コーヒー: Positive Mood with Relaxing Jazz Instrumental & Soft Bossa Nova Piano,Livestream,1434,5:59:56,CA,2024-10-11
22,video,Pawn Stars: MEGA-PRICED Gold & Silver Collectibles,"Silver and gold is super valuable in the Pawn shop. Check out this marathon of silver and gold deals in this compilation from Pawn Stars!

Watch your favorite episodes of Pawn Stars, and stay...",123874,46:16,CA,2024-10-11
