,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,🔴LIVE：2024.10.12新聞大白話特報【14:15全球開播】,"大白話推薦🔥【溫國智主廚】砂鍋魚片湯+干貝雞肉湯，湯品最低一包$115！圈圈選物 滿$1500折150｜2500折250➟ https://reurl.cc/yvGl78

【快按讚】《新聞大...",11691,LIVE,True,['LIVE'],CA,2024-10-12
1,shorts_listing,Shorts,,,,,,CA,2024-10-12
2,video_listing,Trending,,,,,,CA,2024-10-12
3,shorts_listing,Shorts,,,,,,CA,2024-10-12
4,video,Can He Make The Greatest Comeback In Bob Does Sports History?,"Watch round 1 of this series here - https://www.youtube.com/watch?v=roAsxJrxrdw&t=956s
Thank you to Bandon Dunes for having us! - https://bandondunesgolf.com/
BREEZY APPAREL AND BDS MERCH -...",352164,1:06:19,,,CA,2024-10-12
5,video,"FULL AMONG US VS ME, NEXTBOT NICO'S NEXTBOT, 2D Nexbot, OBUNGA NETBOT NEW UPDATE In Garry's Mod","FULL AMONG US VS ME, NEXTBOT NICO'S NEXTBOT, 2D Nexbot, OBUNGA NETBOT NEW UPDATE In Garry's Mod 

Subscribe My Channel https://www.youtube.com/channel/UCPvSmZ0mj0qjuaihTrWbxhA

Garry's Mod...",1502,11:52,,,CA,2024-10-12
6,video,Comedy • 2001,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on...",,1:36:02,,"['Free with ads', 'PG-13']",CA,2024-10-12
7,video,Nightly News Full Broadcast - Oct. 11,Major flooding continues in Florida as death toll rises after Milton; Search continues in neighborhoods ripped apart by tornadoes; Safety questions after deadly gold mine malfunction in Colorado;...,323126,20:57,,,CA,2024-10-12
8,video,The Dark Truth Of America’s Skinniest City,"Welcome to America's thinnest city...

Brooke Alexander IG: https://www.instagram.com/bloom.with.me/?hl=en


GET MY COOKBOOK! https://www.stripdown.ca/ 

SHOP GYMSHARK 🦈 10% OFF WITH CODE...",2160477,25:02,,,CA,2024-10-12
9,video,Trump Tells 11 Lies During Hugh Hewitt Interview,"Seth Meyers does his monologue for Thursday, October 10, then holds a high-stakes vice presidential debate between JD Vance and Tim Walz.

Late Night with Seth Meyers.  Stream now on Peacock:...",1466831,9:58,,,CA,2024-10-12
10,video,Padres vs. Dodgers NLDS Game 5 Highlights (10/11/24) | MLB Highlights,"Padres vs. Dodgers NLDS Game 5 full game highlights from 10/11/24, presented by  @evanwilliamsbourbon 

Don't forget to subscribe! https://www.youtube.com/mlb

Follow us elsewhere too:
Twitter:...",644285,8:46,,,CA,2024-10-12
11,video,Lobotomy Nextbots  Geometry Dash Difficulty Faces  MCPE and Gmod Liminal hotel,"Hi guys, thank you all for watching :з Hope you enjoyed the video and don't forget to like, comment and subscribe to get more funny MINECRAFT content 😊 Looking forward to seeing my guys...",600,10:18,,,CA,2024-10-12
12,video,Coulda Been Records DETROIT Auditions hosted by Druski,"Follow Druski
Druski Official Instagram - https://www.instagram.com/druski/
Druski Official TikTok - https://www.tiktok.com/@druski
Druski Official Twitter - https://twitter.com/druski
Druski...",919469,46:39,,,CA,2024-10-12
13,video,The Subway Surfers of New York,"Patreon Exclusive Clips: https://www.patreon.com/tommygmcgee
Big Dog Merch: https://tommygmcgee.com/

NLN Squad: 
Main Guy ""James"" : @c.mvrdaaa

Terrell: @terrellismail   
Wish him well on...",696834,27:06,,,CA,2024-10-12
