,type,title,description,viewCount,lengthText,badges,isLive,country,date
0,video,VP Debate 2024 Cold Open - SNL,"Kamala Harris (Maya Rudolph) and Doug Emhoff (Andy Samberg) watch the vice presidential debate between JD Vance (Bowen Yang) and Tim Walz (Jim Gaffigan).

Saturday Night Live. Stream now on...",6139616,8:43,,,NO,2024-10-12
1,shorts_listing,Shorts,,,,,,NO,2024-10-12
2,video_listing,Trending,,,,,,NO,2024-10-12
3,shorts_listing,Shorts,,,,,,NO,2024-10-12
4,video,Building a Tiny Office Pod Under My Stairs,"Mr Cool!
Huge thanks to ‪@MrcoolComfort‬  for Sponsoring this video! The DIY Ductless Mini-Split is a great option for homeowners looking for total comfort in their space without the hefty...",3062467,51:47,,,NO,2024-10-12
5,video,Baby Calm Down FULL HD | Selena Gomez & Rema Official Music Video 2024 || #83,"#remacalmdown #coffindance #officalvideo 

Baby Calm Down FULL HD | Selena Gomez & Rema Official Music Video 2024 || #83",226,1:39,,,NO,2024-10-12
6,video,Action & adventure • 2015,"Continuing the global exploits in the franchise built on speed, Vin Diesel leads the returning cast of ""Furious 7."" After defeating Owen Shaw and his crew, Dominic Toretto (Vin Diesel), Brian...",,2:17:21,"['Free with ads', 'PG-13']",,NO,2024-10-12
7,video,Rain Sounds For Sleeping - 99% Instantly Fall Asleep With Rain And Thunder Sound At Night,"Do you have trouble falling asleep at night? Do you need some soothing and relaxing rain sounds to calm your mind and body? If so, this video is just what you need. In this video, you'll be...",24925,LIVE,['LIVE'],True,NO,2024-10-12
8,video,"Can I Survive Alaskan Winter with No Sleeping Bag, No Tent & No Tarp?","This is extreme winter survival camping. No tent, shelters, tarps, sleeping bags, or matches. The snow is deep and I am going to have to work hard to avoid freezing. Check out this extreme...",14931264,20:39,,,NO,2024-10-12
9,video,"Fall Asleep In Less Than 3 Minutes ★︎ Healing of Stress, Anxiety and Depression ★︎ MELATONIN RELEASE","Fall Asleep In Less Than 3 Minutes ★︎ Healing of Stress, Anxiety and Depression ★︎ MELATONIN RELEASE

🎵 Tracking information:
Composer: Relaxation & Deep Healing

This music is meant...",495482,11:54:58,,,NO,2024-10-12
10,video,Jennifer Aniston Addresses the Many Rumors About Her & She Brings Out Her Dog Clyde!,"Jennifer talks about working with the late great Kris Kristofferson, him being a big “Friends” fan, shooting season four of “The Morning Show,” tabloids making a scene they shot for...",1986933,13:14,,,NO,2024-10-12
11,video,New Polestar 3 Review: Forget EVERY German SUV!?,"Change your car with Carwow: https://bit.ly/Change-Your-Car-0310

This is the Polestar 3! 

We've waited four years for Polestar to release the successor to the Polestar 2, and what Mat has...",1150052,17:46,,,NO,2024-10-12
