,type,title,description,viewCount,lengthText,isLive,country,date
0,video,lofi hip hop radio 📚 beats to relax/study to,"🎼 | Listen on Spotify, Apple music and more
→  https://fanlink.tv/lofigirl-music

 🎃 | New Halloween Radio is out now!
→  https://www.youtube.com/watch?v=a5sdsbGKz8U&ab_channel=LofiGirl...",20156,LIVE,True,ES,2024-10-13
1,shorts_listing,Shorts,,,,,ES,2024-10-13
2,video_listing,Trending,,,,,ES,2024-10-13
3,shorts_listing,Shorts,,,,,ES,2024-10-13
4,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",239487,10:10:12,,ES,2024-10-13
5,video,[GMOD]Various banana cats?/色んなバナナ猫？#gmod #bananacat,"Hi!
This is the first compilation in a while!
Thank you for always watching my videos! If you like it, please subscribe to my channel and rate it highly!

こんにちは！
今回は久しぶり...",320,13:57,,ES,2024-10-13
6,video,Chicago Marathon 2024: WATCH LIVE (FULL VIDEO),"More than 50,000 runners -- and over a million spectators and supporters -- will flood the streets of Chicago this weekend for the 2024 Bank of America Chicago Marathon.

NBC Chicago and Telemundo...",22994,LIVE,True,ES,2024-10-13
7,video,"Sweet Autumn Jazz Tunes 🍂 Rooftop Cafe Shop Ambience ~ Calm and Relaxing Music for Work, Study","Sweet Autumn Jazz Tunes 🍂 Rooftop Cafe Shop Ambience ~ Calm and Relaxing Music for Work, Study
🎧 Listen on Spotify: https://spoti.fi/3Xy2tWv

🎧 Sweet jazz melodies resound on the cafe's...",426620,3:38:03,,ES,2024-10-13
8,video,Best of Tchaikovsky - Classical Music Gems,"Tchaikovsky’s music is a journey through the heart, filled with intense passion, sweeping melodies, and dramatic contrasts. From the grandeur of his symphonies to the delicate beauty of his...",669875,2:59:44,,ES,2024-10-13
9,video,"Best Classic Rock Songs 70s 80s 90s 🔥 Guns N' Roses, Aerosmith, Bon Jovi, Metallica, Queen, ACDC, U2","https://youtu.be/YpZLZxTHuRE
---------------------------------------------------------------
💙 Thanks for Watching! 💙
If you enjoyed the video, please give us a thumbs up and share it...",385661,3:10:48,,ES,2024-10-13
10,video,#137 - “Infiltré a una Policía en la Banda de ETA”,"Aprovecha y Disfruta de Cyberghostvnp con nuestro descuento: https://www.cyberghostvpn.com/WORLDCAST

Esperamos que lo disfruten!

Síguenos en:

-Spotify: https://open.spotify.com/show/5hiPtlv......",176368,1:06:33,,ES,2024-10-13
11,video,Obungalos return,,245,0:44,,ES,2024-10-13
