,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,"October Jazz Music - Instrumental Morning Jazz & Sweet Bossa Nova ~ Coffee Jazz for Relax,Work,Focus","A cozy October with the relaxing sounds of sweet jazz and bossa nova, perfectly blended with the warmth of an autumn cafe, perfect for helping you find focus and relaxation, creating a daily...",102090,11:55:00,,,US,2024-10-13
1,shorts_listing,Shorts,,,,,,US,2024-10-13
2,video_listing,Trending,,,,,,US,2024-10-13
3,shorts_listing,Shorts,,,,,,US,2024-10-13
4,video,[4K] Watch SpaceX Try To Catch A Starship Rocket From Space! #IFT5,"[TIME SUBJECT TO CHANGE] This is the fifth fully integrated full stack test flight of Starship and the mighty Super Heavy booster, the largest and most powerful rocket to ever fly. It produces...",127370,LIVE,True,['LIVE'],US,2024-10-13
5,video,ROSALIA Takes on BIG OBUNGA in EPIC Geometry Dash Emoji Gmod Showdown! pt.15,"#yoshie #nextbots #nextbot #SkibidiToilet #nightmare #munci #obunga 
 
👘 Garry's Mod

👘 ROSALIA Takes on BIG OBUNGA in EPIC Geometry Dash Emoji Gmod Showdown! pt.15

👘 Subscribe: https://w...",1752,8:13,,,US,2024-10-13
6,video,A Happy Little Weekend Marathon!,"!bob
!cabin
!ripdevil
!paintlikebobross

Bob Ross weekend marathons begin every Friday at 12pm ET.

Streaming this weekend:
Season 25
Season 26
Season 27
Season 28

Ends Monday at 10am ET....",1248,LIVE,True,['LIVE'],US,2024-10-13
7,video,I Made My Own AAU Team and This Happened...,"The Tournament Kit: https://go.bucketsquad.com/TournamentKit_Jesser Join Team Bucketsquad and get the EXACT Champion Jersey and matching shorts worn by our players in the AAU tournament!

Welcome...",1160446,46:32,,,US,2024-10-13
8,video,I Should Have Bought This Tool Set 10 Years Ago!,"Kobalt, Craftsman, Harbor Freight Pittsburgh, FastPro, Getuhand, Pink Tool, DEKOPRO, Sundpey, Amazon Basics, Eastvolt. Tool sets compared for ratchet, socket, utility knife, hammer, adjustable...",775109,21:26,,,US,2024-10-13
9,video,7 Days Exploring An Underground City,"This salt mine is the coolest underground city I’ve ever seen
Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, cheddar bites, fries, double Texas toast, signature sauces,...",33085678,20:35,,,US,2024-10-13
10,video,The Rise and Fall of White Boy Carl: Part 1 | Shameless,"""He sees past my skin into my dark black soul."" 
 
Subscribe now: 
https://www.youtube.com/@shameless 
 
Watch More:  
https://www.warnerbros.com/tv/shameless 

Nobody screws with the Gallaghers....",799471,32:15,,,US,2024-10-13
11,video,[GMOD]Various banana cats?/色んなバナナ猫？#gmod #bananacat,"Hi!
This is the first compilation in a while!
Thank you for always watching my videos! If you like it, please subscribe to my channel and rate it highly!

こんにちは！
今回は久しぶり...",332,13:57,,,US,2024-10-13
12,video,Solo In Asia's Most Evil Place 🇰🇭,"Use my link https://bit.ly/Bald_and_Bankrupt to start a 14-day free trial and enjoy all the amazing features MyHeritage has to offer. 

🇰🇭In 1975 the Khmer Rouge rolled in to Phnom Penh...",1276180,34:31,,,US,2024-10-13
13,video,GAME OF THE WEEK! Baltimore Ravens vs. Cincinnati Bengals FULL GAME | NFL 2024 Season Week 5,"With NFL+, catch all the action and stream live local and primetime games on mobile devices all the way from the regular season through the playoffs. Visit Plus.NFL.com to learn more. Subscribe...",202543,2:18:03,,,US,2024-10-13
14,video,I played 9 MORE Souls-Like games you've never heard of (AGAIN),"Thank you ExpressVPN for sponsoring! Go to https://expressvpn.com/IRONPINEAPPLE and find out how you can get 3 months of ExpressVPN free!

episode 26 of Steam Dumpster Diving with somehow,...",1908344,2:25:12,,,US,2024-10-13
15,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",239472,10:10:12,,,US,2024-10-13
16,video,Deep Sleeping 10 Hours - Fall Asleep In 3 Minutes With Soothing Ocean Waves Rolling All Night,"Deep Sleeping 10 Hours - Fall Asleep In 3 Minutes With Soothing Ocean Waves Rolling All Night

Soothing Ocean Waves: Relaxing White Noise for Sleep and Meditation
Relax, Fall Asleep or Study...",177315,10:30:12,,,US,2024-10-13
