,type,title,description,viewCount,lengthText,isLive,country,date
0,video,War in the Pacific!,This is a compilation of some of our most riveting stories from the Pacific Theatre in the air and at sea. Taffy 3's heroic defense against the goliath IJN Yamato's entire war fleet in the...,477138,1:44:01,,IT,2024-10-14
1,shorts_listing,Shorts,,,,,IT,2024-10-14
2,video_listing,Trending,,,,,IT,2024-10-14
3,shorts_listing,Shorts,,,,,IT,2024-10-14
4,video,lofi hip hop radio 📚 beats to relax/study to,"🎼 | Listen on Spotify, Apple music and more
→  https://fanlink.tv/lofigirl-music

 🎃 | New Halloween Radio is out now!
→  https://www.youtube.com/watch?v=a5sdsbGKz8U&ab_channel=LofiGirl...",23848,LIVE,True,IT,2024-10-14
5,video,Office Earl Chases Me Liminal Hotel In Gmod,Office Earl Chase Me in Gmod In Liminal Hotel Nextbot. Interesting Chase game in Gmod. Please Like and Subscribe to My channel So you dont miss my new videos,1067,3:16,,IT,2024-10-14
6,video,Detroit Lions vs. Dallas Cowboys | 2024 Week 6 Game Highlights,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com

Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFL...",996543,11:55,,IT,2024-10-14
7,video,"Stress-Free Autumn Porch Vibes 🍂 | Pumpkin Carving, Jazz & Rain","Stress-Free Autumn Porch Vibes 🍂 | Pumpkin Carving, Jazz & Rain

Cozy Cabin Ambience creates audiovisual experiences for quality sleep, deeper focus, and calming relaxation. From beautiful...",1261403,3:14:56,,IT,2024-10-14
8,video,7 Days Exploring An Underground City,"This salt mine is the coolest underground city I’ve ever seen
Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, cheddar bites, fries, double Texas toast, signature sauces,...",43299397,20:35,,IT,2024-10-14
9,video,Comedy • 2001,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on...",,1:36:02,,IT,2024-10-14
10,video,"FULL YELLOW AMONG US, NEXTBOT NICO'S NEXTBOT, 2D Nexbot, OBUNGA NETBOT NEW UPDATE In Garry's Mod","FULL YELLOW AMONG US, NEXTBOT NICO'S NEXTBOT, 2D Nexbot, OBUNGA NETBOT NEW UPDATE In Garry's Mod 

Subscribe My Channel https://www.youtube.com/channel/UCPvSmZ0mj0qjuaihTrWbxhA

Garry's Mod...",481,17:47,,IT,2024-10-14
11,video,"$80,000 Wagered To Celebrate 800,000 Subscribers!","Visit https://www.vegasmatt.com/

SUBSCRIBE :)",420933,51:31,,IT,2024-10-14
12,video,listen to this playlist to escape reality | late night vibes playlist,"if you like this video please leave a like, comment and subscribe, it makes my day :)❤️ 
listen and follow this playlist on Spotify for full playlist and updates: https://open.spotify.com/playl...",2935829,2:04:26,,IT,2024-10-14
13,video,The History of Minnesota,"Please enjoy this drone tour through the early History of Minnesota!  We explore the landscape of the state of Minnesota and many sites from Minnesota history.  
We tell the story the story...",167125,24:02,,IT,2024-10-14
14,video,Tranquill Jazz In Lakeside | Cozy Outdoor Autumn Coffee Shop Ambience With Warm Fireplace For Rel...,"Tranquill Jazz In Lakeside | Cozy Outdoor Autumn Coffee Shop Ambience With Warm Fireplace For Relax
Channel: Tranquill Jazz Melody
Composer: ViVi Smooth Jazz
Happy Lightly Jazz ☕ Feeling...",593330,3:20:14,,IT,2024-10-14
15,video,Enchanted Forest Ambience | 432Hz + 528Hz + 963Hz - Miracle Tone Healing Music | Spiritual Awaken...,"#treeoflife  #meditation   #chakrahealing 
ENCHANTED FOREST AMBIENCE | 432hz + 528hz + 963hz - Miracle Tone Healing Music | Spiritual Awakening
Channel: Healing Frequency Vibrations
🎵Track...",224052,11:54:57,,IT,2024-10-14
16,video,DIRTY DIAMONDS - The Child Miners of Sierra Leone 🇸🇱,"*SPONSOR A CHILD AND CHANGE HIS FUTURE: https://bit.ly/PH-SierraLeone*
Sierra Leone is a country where the earth hides an eternal promise: diamonds. A small piece of rock, a symbol of wealth...",2313055,30:10,,IT,2024-10-14
17,video,NASA’s Search for Life in a Radiation Death Zone Starts in 8 Hours | Europa Clipper,Europa Clipper is looking for signs of alien life in a very deadly place. Head to http://80000hours.org/veritasium to start planning a career that can help change the world for the better....,1357139,17:55,,IT,2024-10-14
18,video,The Infamous Menendez Brothers Case Has Returned to the Spotlight,"A new season of Monsters is airing on Netflix, focusing on the infamous Menendez Brothers. This renewed attention could potentially impact the outcome of their life sentences, even years later....",188172,11:42,,IT,2024-10-14
19,video,THIS Machine Makes Us The REAL Money,"Thank you so much to LMNT for sponsoring today's video and making harvest hot cocoa mornings even better. Try it for your self here: https://drinklmnt.com/LAURAFARMS 

Harvest is finally here!...",157605,31:09,,IT,2024-10-14
20,video,Beautiful relaxing music for stress relief - Relaxing music for spiritual healing & meditation #20,"Beautiful relaxing music for stress relief - Relaxing music for spiritual healing & meditation
Beautiful relaxing music for stress relief - Relaxing music for spiritual healing & meditation...",475389,2:09:00,,IT,2024-10-14
21,video,Angry Munci Family Vs Houses in Garry's Mod ( Part 52 ),,1513,10:25,,IT,2024-10-14
22,video,Third Trump assassination attempt thwarted,"US Police say they have prevented an alleged third assassination attempt on former president Donald Trump in California.

A man armed with guns and fake passes was stopped by police at his...",1646610,3:29,,IT,2024-10-14
