,type,title,description,viewCount,lengthText,isLive,country,date
0,video,LIVE: NBC News NOW - Oct. 15,"NBC News NOW is live, reporting breaking news and developing stories in real time. We are on the scene, covering the most important stories of the day and taking deep dives on issues you care...",1988,LIVE,True,FR,2024-10-15
1,shorts_listing,Shorts,,,,,FR,2024-10-15
2,video_listing,Trending,,,,,FR,2024-10-15
3,shorts_listing,Shorts,,,,,FR,2024-10-15
4,video,🔥 Cozy Fireplace 4K (12 HOURS). Fireplace with Crackling Fire Sounds. Fireplace Burning 4K,"Fireplace with Crackling Fire Sounds. The best Fireplace video 4K UHD. 

🔥 Campfire in the Winter Forest (10 HOURS) ー https://youtu.be/Bjzb7k5hNsM

🔥 The BEST Cozy Fireplace 4K (12...",92742,11:55:00,,FR,2024-10-15
5,video,Auughh Family vs Towers Gmod Nextbot,#garrysmod #nextbots #nextbot #gmod #nextbotchasing #chasing #skibidibopyesyesyes #backrooms,982,8:01,,FR,2024-10-15
6,video,Down to the wire in New York!! Bills vs. Jets | NFL 2024 Season Week 6,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",46640,13:33,,FR,2024-10-15
7,video,The History of Minnesota,"Please enjoy this drone tour through the early History of Minnesota!  We explore the landscape of the state of Minnesota and many sites from Minnesota history.  
We tell the story the story...",168597,24:02,,FR,2024-10-15
8,video,6 Grandmas vs 1 Fake | Odd One Out (ft. Duncan Joseph),"Apply for our new series “AITA? irl” here: https://bit.ly/4eyMe1o

Hey you 👈 Wanna be in a Jubilee video? https://bit.ly/be-in-a-video

LET’S BE FRIENDS
Instagram: https://www.instagram.co...",2092169,22:32,,FR,2024-10-15
9,video,"Musique Douce: Relaxante, Calme - Nature Relaxation","Musique douce et relaxante avec 4K vidéo de la forêt et  chute d'eau, musique calme et nature, relaxation.
Playlist Musique Relaxante: https://www.youtube.com/playlist?list=PLKxspWK8-EBAG02ZcuFVM...",86403532,2:04:50,,FR,2024-10-15
10,video,Skull Nextbot Gmod,"Thanks for waching
#garrysmod #nextbots #gmod #gmodnextbots #shortsvideo #babymonkey #funny #fyp #games",425,12:24,,FR,2024-10-15
