,type,title,description,viewCount,lengthText,badges,country,date
0,video,Horror • 2012,"From visionary filmmakers Tim Burton and Timur Bekmambetov (Director of Wanted) comes this edgy thriller about the untold story that shaped our nation. Abraham Lincoln, history's greatest hunter...",,1:45:01,"['Free with ads', 'R']",NO,2024-10-15
1,video,Never Talk to Strangers,"Hello everyone, this is YOUR Daily Dose of Internet. In this video, you never talk to strangers

Links To Sources: 

https://docs.google.com/document/d/17xVXVlXTExkLEjhEvDRRSIUI4B7rhwm39LZ0SP-x-YA/...",2584771,8:23,,NO,2024-10-15
2,video,Eminem - Temporary (feat. Skylar Grey) [Official Music Video],"Eminem - Temporary (feat. Skylar Grey) 
Listen: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
https://www.facebook.com/eminem
https://twitter.com/eminem
https://www.instagram.com/eminem...",15908466,5:03,,NO,2024-10-15
3,_listing,Free Primetime movies,,,,,NO,2024-10-15
4,video,"Guided Sleep Meditation, Heal Stress, Anxiety, Eliminates All Negative Energy, Calm Sleep Music","Guided Sleep Meditation, Heal Stress, Anxiety, Eliminates All Negative Energy, Calm Sleep Music
A guided sleep meditation to heal stress, anxiety, eliminates all negative energy. The sleep...",828,3:33:21,,NO,2024-10-15
5,video,How can I become a Content Creator? | Q&A,,890,24:31,,NO,2024-10-15
6,video,I Spent 100 Days in a Flood Infection in Hardcore Minecraft... Here's What Happened,"I Spent 100 Days in a Ancient Parasite Outbreak in Hardcore Minecraft... Here's What Happened

Check out the Modpack  Here:
https://modrinth.com/modpack/dawn-of-the-flood-fl

Check out the...",947535,3:23:34,,NO,2024-10-15
7,video,I Let Popular Food Companies Control My Diet For 7 Days,"Might be awhile before I check my DMs again.. 
Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

Get Making Carbs Great Again Merch: https://eriktheelectric.shop/products/ma...",2283167,39:43,,NO,2024-10-15
8,video,I tested every Celebrity Tech product!,"Celebrity tech from Ronaldo, Mbappe, Will Smith, Kim Kardashian and much more, finally put to the test 😎 First 30 purchases get 10% off the Insta360 X4, plus a free Bullet Time Tripod and...",4134110,27:15,,NO,2024-10-15
9,video,7 Days Exploring An Underground City,"This salt mine is the coolest underground city I’ve ever seen
Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, cheddar bites, fries, double Texas toast, signature sauces,...",50344838,20:35,,NO,2024-10-15
10,video,Cashew - Kwame Adu,"Directed/Edited by Diani Greene
Shot/DP - Jared Bishop
AD - DeVaughn Holliday

Thank you friends, fam, Perri Danielle, and the Warthog. Song produced and engineered by DREE.",105,2:48,,NO,2024-10-15
11,video,Breaking Ungodly Soul Ties: The Freedom Edition // Pastor Ken Claytor,"If you'd like to know more about our ministry please visit us at http://www.myalivechurch.org

If you're a first-time guest or want to get plugged in please contact us at: https://www.myalivechurch...",566641,40:27,,NO,2024-10-15
12,video,Tampa Bay Buccaneers vs. New Orleans Saints | 2024 Week 6 Game Highlights,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com

Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFL...",1033068,15:11,,NO,2024-10-15
13,video,Glass Bridge Game Full Scene | Squid Game | Netflix,"The Glass Bridge Squid Game challenge was absolutely brutal. Watch how the game led to the finalists. Squid Game Season 2 is coming to Netflix on December 26.

➡️Watch on Netflix: https://www...",1511739,21:06,,NO,2024-10-15
14,video,it's 3am and gordon woke up severely dehydrated | Kitchen Nightmares | Gordon Ramsay,"time to make hwachae i guess

Season 2, Episode 3

Gordon Ramsay visits Giuseppe's, a family-run Italian restaurant in Macomb Township, Mich., that has a chaotic atmosphere in the kitchen and...",703873,1:24:40,,NO,2024-10-15
15,shorts_listing,Shorts,,,,,NO,2024-10-15
16,video,i must rest here a moment,"gandalf
second account
https://www.youtube.com/channel/UCoH2qJSyODQpBKsK63Moc6Q

spotify
https://open.spotify.com/artist/6yzpzyfDYnBHdyWWmEOp1J?si=kwh4lBagROybY_ipxrXDcQ

soundcloud
https://soundcl...",835266,1:00:02,,NO,2024-10-15
17,video,REACTING TO PARANORMAL STORIES!!! *fan stories*,"MERCHHH!!!

https://sturnioloclothing.com

Follow us on Instagram : https://www.instagram.com/sturniolo.triplets 
Follow us on TikTok : https://www.tiktok.com/@sturniolo.triplets
Follow us...",809401,29:02,,NO,2024-10-15
18,shorts_listing,Shorts,,,,,NO,2024-10-15
19,video,JOHN WICK BALLERINA Trailer (4K ULTRA HD) NEW 2025,"Official new movie trailer for John Wick Ballerina

Plot : A young female assassin seeks revenge against the people who killed her family.


Follow Us On Instagram : https://www.instagram.com/films...",2237305,2:34,,NO,2024-10-15
20,video,First Class on World’s Only 7 Star Sleeper Train,"Install Airalo today https://try.airalo.com/TrekTrendy and use my code TREKTRENDY3 to get $3 off your first eSim!

Join me on the World's only 7 Star Sleeper train for 80 hours across Japan,...",506894,27:07,,NO,2024-10-15
21,video,Weekly Weather Outlook 10/14/2024,"This is the weekly weather outlook for the week of October 14, 2024. Cooler conditions this week with a chance of rain and wind due to a late week storm system. Santa Ana winds are possible...",167,3:49,,NO,2024-10-15
22,video,Garten of BanBan 7,"We're gonna BanBan harder than ever in this Garten... 7 times as hard as before! Also Chapter 5 literally never exists in anything ever. Shush.
LISTEN TO DISTRACTIBLE ►► https://open.spotify.co...",1396011,1:33:51,,NO,2024-10-15
