,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,Warm Morning Jazz Music at Fall Coffee Shop Ambience 🍂 Relaxing Jazz Instrumental Music for Studying,"Warm Morning Jazz Music at Fall Coffee Shop Ambience 🍂 Relaxing Jazz Instrumental Music for Studying

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register...",193622,11:54:57,,,NO,2024-10-16
1,shorts_listing,Shorts,,,,,,NO,2024-10-16
2,video_listing,Trending,,,,,,NO,2024-10-16
3,shorts_listing,Shorts,,,,,,NO,2024-10-16
4,video,"17-Year-Old Shye's Four-Chair Turn Performance of ""Superman"" | The Voice Blind Auditions | NBC","Shye performs Five for Fighting's ""Superman (It's Not Easy)"" during The Voice Blind Auditions.

Watch The Voice Mondays and Tuesdays at 8/7c on NBC and streaming next day on Peacock.

» Stream...",1020443,6:09,,,NO,2024-10-16
5,video,Termina Vs Towers In Garry's Mod!,"Termina Vs Towers In Garry's Mod!

Thank you very much for watching this video! I tried my best and I hope you enjoy this video❤️

I make videos every day! 💥
Subscribe and click on the...",160,9:56,,,NO,2024-10-16
6,video,"""All In"" - Elon Musk's BRUTALLY Honest Interview With Tucker Carlson (2024)",Elon Musk's BRUTALLY Honest Interview With Tucker Carlson (2024)  | Are you an Elon Musk Fan? - Join Visionary Society For Exclusive Elon Musk Interviews and more! 👉🏻 https://bit.ly/TheVision...,1721581,24:01,,,NO,2024-10-16
7,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8


Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",310284,11:54:57,,,NO,2024-10-16
8,video,Spooder-Man Destroys Fortnite,"Spooder-Man Destroys Fortnite
Buy Gamer Supps: https://gamersupps.gg/LOL

Spooderman and Doctor Strange find themselves in the wonderful world of Fortnite, but as Dr. Strange is downed by a...",548096,8:52,,,NO,2024-10-16
9,video,‘I grew up in the middle class’: Kamala Harris ridiculed for repeating cringe talking point,"Kamala Harris has done it again. 

Yes, she’s repeated her cringiest talking point again and commentators have mocked her relentlessly for it. 

Kamala Harris continued her media blitz and...",29554,11:22,,,NO,2024-10-16
10,video,Nightly News Full Broadcast - Oct. 15,Harris courts Black voters in Michigan after unusual Trump town hall; Harris tries to put Trump's age front and center; Growing concerns about cleanup and misinformation more than two weeks...,288224,20:53,,,NO,2024-10-16
11,video,"All Full Nico's Nextbots Update, 2d Nextbot Gmod  in the Liminal Hotel !!!","All Full Nico's Nextbots Update, 2d Nextbot Gmod  in the Liminal Hotel !!!
Like and Subcribe !
Thank For Watching !",1834,8:01,,,NO,2024-10-16
12,video,249Day Build A Private Tunnel House With Private Swimming Pools,"249Day Build A Private Tunnel House With Private Swimming Pools.
Over the course of 249 days, they showcase the construction process, emphasizing the integration of the dwelling with the natural...",8859896,35:52,,,NO,2024-10-16
