,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video,"WELT TV-DUELL: ""Alice Weidel oft total verunsichert""! ""Sahra Wagenknecht distanziert""!",WELT Netzreporter,"WELT TV-DUELL: Alice ""Weidel oft total verunsichert"" – ""Sahra Wagenknecht distanziert""

Beim Fernsehduell zwischen AfD-Chefin Alice Weidel und BSW-Chefin Sahra Wagenknecht sind Gemeinsamkeiten...",282062,2024-10-09,34:30,DE,2024-10-10
1,video,Hurricane Milton: Tornado sweeps over bridge during meteorologist's live report,FOX 4 Now,Fox 4 Meteorologist Trent Aric was live on air as an apparent tornado sweeped over the Matlacha Bridge. Conditions deteriorated rapidly on Wednesday as Hurricane Milton approached.,6757049,2024-10-09,4:23,DE,2024-10-10
2,shorts_listing,Trending Shorts,,,,,,DE,2024-10-10
3,video,Der günstigste Porsche GT3RS Deutschlands erstrahlt in neuem Glanz 📈,DAVE,"Ich habe den günstigsten Porsche GT3 RS Deutschlands gekauft um ihn wieder auf zu bauen. In dieser Folge kümmern wir uns endlich um Die Lackierung und lassen den wagen in neuem Glanz erstrahlen,...",295173,2024-10-09,19:36,DE,2024-10-10
4,video,Islam Dulatov DEMOLIERT seinen Gegner & bekommt UFC Vertrag! RINGLIFE,RINGLIFE,"Unser offizieller RINGLIFE Shop: https://rglf.com/
10% RABATT auf TOP Kampfsport Artikel bei KHUNPON 
mit dem Code RING10 https://bit.ly/3d8sqBE 
Sichere dir den besten Rabatt bei ESN mit meinem...",263177,2024-10-09,6:44,DE,2024-10-10
5,video,Felix Lobrecht und Torsten Sträter über den Druck als Comedian | 1LIVE 99 Problems,1LIVE,"Leute, wir haben euch gehört: Jetzt gibt es wieder längere 99 Problems Videos. Diese Woche Teil 1, nächste Woche kommt dann Teil 2 der ganzen Show. 

Zum Bonus-Material: https://youtu.be/Z8IxhLo...",173507,2024-10-09,33:01,DE,2024-10-10
6,video,SO VIEL KOSTET MERT‘S SUCUK… 😳😍 || Sucuk Camp Teil 1,MertAbiTalks,"Mert's Sucuk Camp

Mert's Sucuk auf Instagram: https://www.instagram.com/eksi.oglustore/

Mert's Sucuk hier bestellen: https://eksi-oglu.de 

►MertAbiReacts: https://www.youtube.com/@MertAbiReact...",129683,2024-10-09,30:17,DE,2024-10-10
7,video,Meeting Old Bum - 4 Days out! | Mr Olympia 2024,Urs Kalecinski,"zum Zweitkanal: https://www.youtube.com/@AlitscheEhrenfrau

*Mit dem Code POLAKO gibt es immer die besten Angebote (bis zu -20% Rabatt)! 
Mit einem Einkauf bei ESN kannst du mich unterstützen...",244503,2024-10-09,27:34,DE,2024-10-10
8,video,09.10.2024 Unwetterinformation - Deutscher Wetterdienst (DWD),DWDderWetterdienst,"DWD MSc-Meteorologe Thore Hansen erläutert die bevorstehende Unwettersituation durch zum Teil ergiebige Regenfälle und Sturm (Stand: Mittwoch, 09.10.2024, 11:30 Uhr).
Stets aktualisierte...",219967,2024-10-09,1:35,DE,2024-10-10
9,video,HIGHLIGHTS | FC Bayern München vs. Arsenal FC -- UEFA Women's Champions League 2024-25 (Deutsch),DAZN Women's Football,"Sign up for free to DAZN 👉 https://bit.ly/DAZNWFootballYouTube

Subscribe now to the best women's football channel on YouTube 👉 https://bit.ly/WomensFootballOnDAZN

Follow Our Social...",112637,2024-10-09,8:18,DE,2024-10-10
