,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video,85 dollars for pasta in a GLASS?,Lionfield,,1535602,2024-10-06,0:24,IT,2024-10-10
1,video,Uragano Milton verso la Florida: come affrontano gli Stati Uniti la sua potenza distruttiva?,Geopop,"L'uragano Milton sta arrivando in Florida, con venti fino a 285 km/h e classificato come categoria 5, potrebbe abbattersi sulle coste nelle prossime 24h. Si profila come una delle tempeste...",405846,2024-10-09,8:36,IT,2024-10-10
2,video,Comunicazione di Maurizio Salvadori,Luca Salvadori,Richiesta di pareri sull’eventuale pubblicazione di nuovi video già realizzati da Luca prima dell’incidente.,466435,2024-10-09,7:58,IT,2024-10-10
3,video,L'uragano Milton spaventa la Florida,Tgcom24,"Nel mirino soprattutto la zona di Tampa Bay, una delle più vulnerabili dello Stato.

Iscriviti al canale: https://www.youtube.com/tgcom24

Tutte le news su: https://www.tgcom24.mediaset.it/",114667,2024-10-09,1:36,IT,2024-10-10
4,video,È possibile attraversare lo Stretto di Messina a piedi?,aledellagiusta,"Jaan Roose vuole essere il primo uomo ad attraversare a piedi lo Stretto di Messina: ce la farà?

Instagram: https://www.instagram.com/aledellagiusta/
TikTok: https://www.tiktok.com/@aledellagiust...",88834,2024-10-10,41:08,IT,2024-10-10
5,video,Is the VAR right?!😱#footballplayer #futbol #soccerplayer #soccer #football #futbolista #var *ad,TOUZANI TV,Deze video is mede mogelijk gemaakt door Zeeuw en Zeeuw.,1588693,2024-10-06,0:29,IT,2024-10-10
6,video,"HAI 12 ANNI, GIOCHI A CALCIO e questo è L'ARBITRO CHE TUO PADRE INSULTA - Gabriele Vagnato",Gabriele Vagnato Shorts,,122142,2024-10-09,1:00,IT,2024-10-10
7,video,AUTOGOL CARTOON - Il vampiro Douglas Luiz,Gli Autogol,Alla Juve scoprono che Douglas Luiz è diventato un vampiro…,93629,2024-10-10,3:26,IT,2024-10-10
8,video,"Un saluto ad un’anima speciale, grazie per il viaggio insieme ❤️🙏🏻#onemoretimepodcast #sammybasso",PODCAST ONE MORE TIME di Luca Casadei,"Link allo shop ufficiale: https://www.onemoretime.me
Link al canale Telegram: https://t.me/podcastonemoretime
Ci trovi anche qui: https://linktr.ee/podcastonemoretime

Storie di vita raccontate...",324832,2024-10-06,0:11,IT,2024-10-10
9,video,Perché i caccia stanno diventando sempre più lenti? 🤔 #caccia #militare #aviazione,Marco Romboli,,132479,2024-10-08,1:01,IT,2024-10-10
10,video,Лучший фокус с калькулятором + обучение! #shorts,Роман Magic,,3611347,2024-10-08,0:18,IT,2024-10-10
11,video,CI HANNO INSULTATO TUTTA LA PARTITA❗️E QUESTO È QUELLO CHE È SUCCESSO montepremi,FENE x 7SINS,"FENE
Instagram: https://instagram.com/fene_mt/
Tiktok: https://www.tiktok.com/@fene_mt?

ANDREA FRATINO
Instagram: https://www.instagram.com/andrea.fratino/
Tiktok: https://www.tiktok.com/@andreafr...",72723,2024-10-10,30:56,IT,2024-10-10
12,video,YOUTUBER LEAGUE 24/25 🏆 TUTTA L’ASTA!! COSTRUIAMO LE ROSE ⚽️,Federico Marconi,"L'asta è la grande novità della nuova stagione!
Ogni rosa sarà composta da 13 giocatori: 8 sono già stati comunicati, gli altri 5 verranno acquistati da una lista di 40 più o meno forti....",146910,2024-10-09,53:54,IT,2024-10-10
13,video,What Will Make It Through the Tin Foil?,Daisy and Poppy,"🐕 SUBSCRIBE - https://kee.gg/subscribedap
🦮 FIRE MERCH - http://www.keeleymerch.com/
🐕‍🦺 DOWNLOAD APP - http://firemerch.app/download

🐾 FOLLOW US HERE!
☛ TikTok - https://www.ti...",4958104,2024-10-04,0:25,IT,2024-10-10
14,video,Seja Gentil com os Pequenos Animais 😿,Los Wagners,#shorts,1958924,2024-10-08,0:20,IT,2024-10-10
15,video,La volevano MULTARE perché guidava in COSTUME | Avv. Angelo Greco,Angelo Greco,".
.
Acquista a questo link il mio libro ""Fanc**o il successo"" https://amzn.to/3SlixbK
.
.
Acquista a questo link il mio libro ""“La Legge per Tutti - Casa e condominio"" 
https://amzn.to/3MAp4Ma...",65952,2024-10-09,0:59,IT,2024-10-10
16,video,YARIS GR 2024 vs 🍆,Edoardo Jannone,"#short #shorts #yaris #gr #yarisgr #mk2 #gen2 #finestrino #finestrini

🟢 Entra nel mio canale WhatsApp per non perderti spoiler, dietro le quinte esclusivi e tanto altro: https://bit.ly/whatsjan...",322336,2024-10-06,0:28,IT,2024-10-10
17,video,Jamil - DE PUTA MADRE 2 (Official Video),Jamil Official,"Jamil performing ""DE PUTA MADRE 2"" (prod. Pashabeats)

DE PUTA MADRE 2 digital store: http://linktr.ee/deputamadre2
Merchandise: http://baidaarmy.bigcartel.com/

Spotify: https://bit.ly/JamilSpotif...",94364,2024-10-09,3:03,IT,2024-10-10
18,video,Mom had to stand up for the whole family!❤️😍😁,DaMus,,2303881,2024-10-06,0:39,IT,2024-10-10
19,video,Why does this little girl throw rubbish in other people's cars?,多米和爸爸,"Welcome to the ”Domi and Dad” YouTube channel!
Here we bring you two cotton-padded jackets and dad's daily dabao: xixi xiaobao: domi
New content is updated every day to keep you in sync...",981180,2024-10-04,0:18,IT,2024-10-10
20,video,Ornella Mariani picchia come un fabbro in diretta TV a Canale Italia,Canale Italia,Interventi di Ornella Mariani tratti dalla trasmissione di venerdì 4 Ottobre 2024. Seguici anche su Telegram https://t.me/notizieoggilineaseraufficiale,112416,2024-10-09,8:35,IT,2024-10-10
21,video,"""It's impossible for a girl from Edmundston to make it on MasterChef Canada"" | MasterChef World",MasterChef World Shorts,"Contains Content from MasterChef Canada Season 2 Episode 2. 
Subscribe for more!",6227895,2024-10-05,0:59,IT,2024-10-10
22,video,Io son vecchio ma ho vissuto,THE PILLOW,"Per seguire i nostri spostamenti in tempo reale su Instagram: https://www.instagram.com/dedepillo/ 

Per segnalare nuove storie: thepillowsegnalazioni@gmail.com

Per richieste commerciali:...",226519,2024-10-07,0:53,IT,2024-10-10
23,video,Indoor plant care hacks for plant lovers 🌿 #shorts #planting #garden #diy #indoor,Green Thumb,"We advise adult supervision and care at all times. 

This video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action...",669926,2024-10-05,0:34,IT,2024-10-10
24,video,"Find The Real MrBeast, Win $10,000",MrBeast,,77180241,2024-10-05,0:37,IT,2024-10-10
25,video,This is probably the most embarrassing scene in the world.,琴琴qin,"Welcome to [Qin Qin] Channel!👫😂

This is a happy world for everyday couples funny families and marital emotions. We record and share the interesting moments between husband and wife the...",2592378,2024-10-06,0:11,IT,2024-10-10
26,video,Geste technique de Camavinga 🎶 #shorts,Fédération Française de Football,"Cama Ohhh, Cama Ohh 🎶 #equipedefrance  #camavinga #nationsleague  #skills  
original sound - 文 | 𝐌𝐮𝐬𝐢𝐜 𝐀𝐥𝐬𝐚 😈🎧",711438,2024-10-09,0:10,IT,2024-10-10
27,video,MAMMA NON GUARDARE QUESTO VIDEO #30 Ci hanno spaccato la macchina... Porto Cervo pt.2,Simone Berlini,"CI HANNO SPACCATO LA MACCHINA...
Instagram: https://www.instagram.com/simoneberlini/
TikTok: https://www.tiktok.com/@simoneberlini",115767,2024-10-09,13:10,IT,2024-10-10
