,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video,"""It's impossible for a girl from Edmundston to make it on MasterChef Canada"" | MasterChef World",MasterChef World Shorts,"Contains Content from MasterChef Canada Season 2 Episode 2. 
Subscribe for more!",15758062,2024-10-06,0:59,NO,2024-10-12
1,video,Kai Cenat Reacts to Thick Of It - KSI,Kai Cenat Live,,10157944,2024-10-08,0:33,NO,2024-10-12
2,video,Cop pulls over biker and witnessed his friend crash 😱 ​​⁠​⁠@Bussin..B,MasFace,"All content featured on this channel is owned by me, used with the original copyright owners permission or used within the U.S. Copyright Office Fair Use rights.

▶ Become a FREE SUBSCRIBER...",11055833,2024-10-05,0:53,NO,2024-10-12
3,video,Is the VAR right?!😱#footballplayer #futbol #soccerplayer #soccer #football #futbolista #var *ad,TOUZANI TV,Deze video is mede mogelijk gemaakt door Zeeuw en Zeeuw.,5194655,2024-10-07,0:29,NO,2024-10-12
4,video,Epic Reflex Game vs MrBeast Crew 🙈😱,Celine Dept,Wow @MrBeast,30526595,2024-10-07,0:32,NO,2024-10-12
5,video,Bobby Gets The Most Insane Gift for His Birthday,Bad Friends,"Get Tickets to Scary Times USA Live Stream https://www.moment.co/badfriends
YouTube Subscribe: http://bit.ly/BadFriendsYouTube
Audio Subscribe: https://apple.co/31Jsvr2
Merch: http://badfriendsmerc...",6659788,2024-10-06,0:20,NO,2024-10-12
6,video,Flipping Robot vs Heavier And Heavier Objects,Mark Rober,,12209381,2024-10-11,0:34,NO,2024-10-12
7,video,Music Rhythm Box Machine ❤️‍🔥,Yaspe,Music Rhythm Box Machine ❤️‍🔥,70031717,2024-09-12,0:14,NO,2024-10-12
8,video,I Made Fortnites Deadliest Map,LazarBeam,,12154272,2024-10-04,0:58,NO,2024-10-12
9,video,Can You Turn On a TV With a Lighter?,Mark Rober,,34095271,2024-10-04,0:48,NO,2024-10-12
10,video,4 Year Sibling Difference! 😭 #shorts,Joe Albanese,,7236457,2024-10-06,0:11,NO,2024-10-12
11,video,There's no quit with this guy... Wheelz is a BEAST 💪,Nitro Circus,,15754067,2024-10-03,0:18,NO,2024-10-12
12,video,Huh? Just put it on like that?,一航1,"🌟Welcome to Channel 1!🌟

👬Join us sand sculpture daily experience full of laughter and incredible daily moments! This is the source of joy we both bring to you.😂

🎉Every video...",26132969,2024-10-08,0:18,NO,2024-10-12
13,video,What If You Were 620 Miles Long?,Vsauce,,8150085,2024-10-08,1:01,NO,2024-10-12
14,video,"Find The Real MrBeast, Win $10,000",MrBeast,,88643814,2024-10-06,0:37,NO,2024-10-12
15,video,The Freshest Steering Wheel On The Road 😎,Alyssa's Ways,,1832165,2024-10-11,0:17,NO,2024-10-12
16,video,How can he forget me…?!🤬 #shorts #couple #relationship,NickandCarrie,,16605949,2024-10-05,0:42,NO,2024-10-12
