,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video_listing,"Sir Clancelot, King of the Belgians",,,,,,US,2024-10-12
1,video,JENNIE - Mantra (Official Music Video),JENNIE,"Official music video for “Mantra” by JENNIE out now: https://jennie.lnk.to/mantra

Directed by Tanu Muino

Follow JENNIE -

Instagram: https://www.instagram.com/jennierubyjane
TikTok: https://w...",9467021,2024-10-10,2:28,US,2024-10-12
2,video,"We, Robot",Tesla,,1202792,2024-10-10,2:15:20,US,2024-10-12
3,shorts_listing,Trending Shorts,,,,,,US,2024-10-12
4,video,Port Antonio,J. Cole,,2712243,2024-10-10,5:17,US,2024-10-12
5,video,Rod Wave - Last Lap (Official Audio),RodWave,"Listen To Rod Wave's New Album ""Last Lap""
http://rodwave.lnk.to/LastLap

Everything Rod Wave: 
https://official-rodwave.com

Last Lap Tour Tickets:
http://rodwave.lnk.to/LastLapTickets

Follow...",229123,2024-10-10,4:09,US,2024-10-12
6,video,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),theofficialGloRilla,"Stream “GLORIOUS” Out Everywhere: https://glorilla.lnk.to/Glorious

Follow #GloRilla: 

Instagram: https://www.instagram.com/glorillapimp/
Twitter: https://twitter.com/GloTheofficial
TikTok:...",404885,2024-10-10,2:47,US,2024-10-12
7,video,"Tesla's 'We, Robot' Event: Everything Revealed in 8 Minutes",CNET,"At Tesla's 'We, Robot' event in Los Angeles, CEO Elon Musk unveils Robotaxi,  a fully autonomous car for less than $30,000. In addition, he reveals Robovan, a 20 passenger vehicle and new updates...",643884,2024-10-10,7:32,US,2024-10-12
8,video,Hurricane Milton: Tornado sweeps over bridge during meteorologist's live report,FOX 4 Now,Fox 4 Meteorologist Trent Aric was live on air as an apparent tornado sweeped over the Matlacha Bridge. Conditions deteriorated rapidly on Wednesday as Hurricane Milton approached.,7816849,2024-10-10,4:23,US,2024-10-12
9,video,VENEZUELA vs. ARGENTINA [1-1] | RESUMEN | ELIMINATORIAS SUDAMERICANAS | FECHA 9,CONMEBOL,"#Venezuela #Argentina #eliminatoriassudamericanas #CreeEnGrande #CONMEBOL 

¡Empate en Maturín entre Venezuela y Argentina! 🤝🇻🇪🇦🇷

La Albiceleste y la Vinotinto se repartieron...",2025334,2024-10-10,10:09,US,2024-10-12
10,video,CHILE vs. BRASIL [1-2] | RESUMEN | ELIMINATORIAS SUDAMERICANAS | FECHA 9,CONMEBOL,"#Chile #Brasil #eliminatoriassudamericanas #CreeEnGrande #CONMEBOL 

⭐🇧🇷 Vitória do #Brasil nas #EliminatoriasSudamericanas! 2-1, como visitante, contra o Chile

Suscríbete I Inscreva-se...",1823860,2024-10-10,10:08,US,2024-10-12
11,video,Season 13: Spellbinder Official Trailer | Overwatch 2,PlayOverwatch,Transform into the ultimate master of witchcraft with the Mythic Spellbinder Widowmaker skin. Go from potions apprentice to master of witchcraft by unlocking all four levels with the Mythic...,549791,2024-10-10,2:31,US,2024-10-12
12,video,진 (Jin) ‘슈퍼 참치 (Super Tuna)’ Special Video,BANGTANTV,"#Jin #진 #슈퍼참치 #SUPERTUNA
🐟 Listen now: http://jin.lnk.to/SuperTuna


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.fa...",1561760,2024-10-10,2:11,US,2024-10-12
