,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video,7 Days Exploring An Underground City,MrBeast,"This salt mine is the coolest underground city I’ve ever seen
Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, cheddar bites, fries, double Texas toast, signature sauces,...",33085825,2024-10-12,20:35,CA,2024-10-13
1,video,Dmitry Bivol reacts to his disappointing majority decision loss to Artur Beterbiev 😔 🇸🇦,TNT Sports Boxing,"Riyadh Season Opening Ceremony IV Crown Showdown: Beterbiev v Bivol
#BeterbievBivol | #RiyadhSeason | Oct 12, live on @tntsports Box Office.

Hit 'Subscribe' above to ensure you never miss...",396487,2024-10-12,1:53,CA,2024-10-13
2,shorts_listing,Trending Shorts,,,,,,CA,2024-10-13
3,video,7 Days Overlanding Iceland (Part 1),Kara and Nate,"We spent a week driving epic campers to some of Iceland's most remote & beautiful spots! Enjoy part 1 as we drive through rivers & lava fields to see countless volcanos, waterfalls, & glaciers...",362142,2024-10-12,43:25,CA,2024-10-13
4,video,JENNIE - Mantra (Official Music Video),JENNIE,"Official music video for “Mantra” by JENNIE out now: https://jennie.lnk.to/mantra

Directed by Tanu Muino

Follow JENNIE -

Instagram: https://www.instagram.com/jennierubyjane
TikTok: https://w...",23316617,2024-10-11,2:28,CA,2024-10-13
5,video,My Mom CONTROLS my Fortnite Game 😡,Royalty Gaming,"My Mom CONTROLS my Fortnite Game 😡
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 👉 ​⁠@RoyaltyGaming1 
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 To Royalty Family 👉 @royaltyfam 

#Ferran #Roblox...",631986,2024-10-12,15:21,CA,2024-10-13
6,video,Shakira - Soltera (Official Video),Shakira,"Music: 
Apple Music:  https://Shakira.lnk.to/Soltera/applemusic 
Spotify: https://Shakira.lnk.to/Soltera/spotify
Amazon: https://Shakira.lnk.to/Soltera/amazonmusicstreaming
YouTube: https://Shakira...",7253707,2024-10-12,4:09,CA,2024-10-13
7,video,VISHWAMBHARA Official Teaser | Megastar Chiranjeevi | Trisha Krishnan | Vassishta | MM Keeravaani,UV Creations,"Vishwambhara Official Teaser on UV Creations.

Vishwambhara is the Latest Telugu movie starring Megastar Chiranjeevi, Trisha Krishnan and Others. Directed by Vassishta. Music by MM Keeravaani...",24210737,2024-10-12,1:33,CA,2024-10-13
8,video,Trivia Game But I Lie Half The Time,Magic The Noah,"Buy Gamer Supps: https://gamersupps.gg/magic


Guest channel:
@EverythingisDND",348738,2024-10-12,36:38,CA,2024-10-13
9,video,Croatia 2-1 Scotland | 2024 UEFA Nations League Highlights,Scotland National Team,"Highlights from Zagreb, as a second-half goal from Andrej Kramarić completed a Croatia comeback after Ryan Christie's first-half opener.

#crosco 

► Subscribe: http://scotfa.co/YTsubscribe...",362785,2024-10-12,9:06,CA,2024-10-13
10,video,Fortnitemares 2024 Gameplay Trailer,Fortnite,"Do you want to play a game… of Fortnite?

Get your chainsaws ready, Fortnitemares is back with more frightening festivities for 2024 until November 1st. Read more: https://fn.gg/Fortnitemares2024...",1825039,2024-10-12,1:03,CA,2024-10-13
11,video,"Tesla's 'We, Robot' Event: Everything Revealed in 8 Minutes",CNET,"At Tesla's 'We, Robot' event in Los Angeles, CEO Elon Musk unveils Robotaxi,  a fully autonomous car for less than $30,000. In addition, he reveals Robovan, a 20 passenger vehicle and new updates...",2567314,2024-10-11,7:32,CA,2024-10-13
12,video,My Mario Childhood,Haminations,"The way I act while playing Mario party is not reflective of who i am.
MERCH: https://creatorink.com/collections/haminations

Buy our new card game, Hoard the Hams! https://wombocombo.games/...",1453916,2024-10-12,18:17,CA,2024-10-13
13,video,England 1-2 Greece | Three Lions Defeated At Wembley | UEFA Nations League Highlights,England,"Jude Bellingham's late goal seemed to secure a draw for England after Pavlidis opened the scoring in the second half. Pavlidis struck again in added time, sealing a dramatic victory and putting...",1224905,2024-10-12,3:04,CA,2024-10-13
14,video,Miranda Hart Makes Selena Gomez Cry (For Good Reason) | The Graham Norton Show,The Graham Norton Show,"#MirandaHart tells #SelenaGomez that her recent documentary helped Miranda to be more open.

#GrahamNortonShow #GrahamNorton #TheGNShow

Follow us here:
Facebook: https://www.facebook.com/thegraham...",363497,2024-10-12,1:12,CA,2024-10-13
15,video,THE GOOBERS JOINED SPRUNKI..,GOOBERS,"THE GOOBERS JOINED SPRUNKI..

❗Get GOOBERS chains here❗ - https://www.roblox.com/groups/14253796/STUDS-HORDE#!/store

💯Make sure to SUBSCRIBE and Join the GOOBER GANG Today!!💯
❗AND...",484263,2024-10-12,18:56,CA,2024-10-13
16,video,The Big Bang - Part 2,SolarBalls,"🏆 Get early access to episodes, perks, & support the future of SolarBalls on Patreon! 🏆
➔ https://www.patreon.com/SolarBalls

Welcome to SolarBalls! Space animation filled with fun,...",339163,2024-10-12,8:42,CA,2024-10-13
17,video,"We, Robot | Tesla Robotaxi Unveil",Tesla,,1830122,2024-10-11,1:20:03,CA,2024-10-13
